Year,Jan,Feb,Mar,Apr,May,Jun ,Jul,Aug,Sep,Oct ,Nov,Dec
1972,-,-,-,-,-,-,-,-,-,-,-,-
1973,-,-,-,-,-,-,-,-,-,-,-,-
1974,10.06,-,11.2,-,14.4,-,-,9.15,-,6.1,-,7.33
1975,9.4,-,11.46,-,-,15.2,-,-,-,-,-,6.46
1976,8.9,-,10.74,-,13.15,-,-,-,-,13.1,-,16.5
1977,16.1,-,16.9,-,17.4,-,-,-,-,17.35,-,17.2
1978,16.6,-,17.45,-,17.45,-,-,-,-,16.85,-,16.55
1979,16.8,-,17.2,-,17.2,-,-,-,-,12.2,-,11.2
1980,11.7,-,13.5,-,15.8,-,-,-,-,17.2,-,17.1
1981,15.3,-,16.1,-,17.45,-,-,-,-,-,15.2,-
1982,15.4,-,16,-,17.45,-,-,-,-,-,17.45,
1983,10.5,-,12.2,-,15.4,-,17.45,17.45,-,12.2,-,-
1984,11.7,-,13.1,-,-,15.1,-,-,17.4,13.1,-,-
1985,11.2,-,13.5,-,-,15.5,-,-,-,16.2,-,-
1986,12.9,-,14.4,-,17.45,-,-,-,-,17.45,-,-
1987,14.2,-,15.8,-,17.1,-,-,-,17.45,17,16.5,13.95
1988,15.3,16.45,17.4,-,17.45,-,-,-,-,10.15,-,-
1989,14.2,-,-,16.5,14.8,15.6,-,-,-,9.8,-,-
1990,10.2,-,12.1,-,-,14.15,-,-,14.1,-,-,-
1991,11.4,-,14.3,-,16.6,-,-,-,-,16.2,-,-
1992,10.9,-,14.5,-,15.9,-,-,-,-,-,-,17.45
1993,14.9,-,15.4,-,17.45,-,-,-,-,15,-,-
1994,12.2,-,14.9,-,17.45,-,-,-,-,17.45,-,-
1995,13.4,-,16,-,17.45,-,-,-,-,15,-,-
1996,13.7,-,15,-,17.45,-,-,-,-,12.3,-,-
1997,12.6,-,14,-,-,15,-,-,-,15,15.5,-
1998,-,16.3,-,17.45,17.45,-,-,-,9,-,-,-
1999,17.45,-,-,-,17.45,-,-,-,-,-,13.8,-
2000,-,-,16,-,-,14.3,-,-,14.2,12.7,-,-
2001,15.4,-,-,-,16.6,-,-,-,-,14,-,-
2002,-,15.9,-,16.7,17.2,-,-,-,15.8,-,15.6,-
2003,-,16.7,-,17.4,17.4,-,-,-,-,17.4,-,-
2004,-,17.4,17.4,-,-,17.4,-,-,-,13.15,-,-
2005,-,14.2,17.5,-,17.5,-,-,-,-,12.75,-,-
2006,13.9,-,-,15.1,17,-,-,-,-,10.5,-,10.8
2007,-,-,14.3,-,16.95,-,-,-,10.5,-,-,-
2008,8,-,-,14.3,15.5,-,-,-,7.6,-,-,-
2009,11.2,-,12.5,-,15.3,-,-,-,14.3,-,-,-
2010,15.6,-,16.1,-,-,17.1,-,-,-,6.9,-,-
2011,9.5,-,5.6,-,-,-,15.8,-,-,7.9,-,14
2012,-,-,-,16,-,17.4,-,-,-,12.3,-,-
2013,-,13.9,17.5,-,-,17.5,-,-,-,14.4,-,-
2014,16.5,-,17.1,-,16.6,-,16.9,-,-,10.75,-,-
2015,16,-,18.3,-,17.2,-,-,-,15.7,-,-,-
2016,17.7,-,18.1,-,17.5,-,-,-,-,12.1,-,-
2017,17.1,-,17.8,-,27.6,-,-,-,-,12.2,-,-
2018,11,-,13.6,-,16.8,-,-,-,16.7,-,-,-
2019,-,17.6,17.6,-,-,21.2,-,-,-,-,-,-
2020,13.9,,14.1,,19.3,,,,10,,,
2021,14.56,,15.3,,17.5,,,,11,,,
2022,13.4,,15.2,,17.5,,,,3.5,,,
2023,11,,15.1,,17.4,,,,15.1,,,
2024,14.5,,15.5,,19.4,,,,,,,
